Species,Culmen Length (mm),Body Mass (g)
Adelie Penguin (Pygoscelis adeliae),39.1,3750.0
Adelie Penguin (Pygoscelis adeliae),39.5,3800.0
Adelie Penguin (Pygoscelis adeliae),40.3,3250.0
Adelie Penguin (Pygoscelis adeliae),36.7,3450.0
Adelie Penguin (Pygoscelis adeliae),39.3,3650.0
Adelie Penguin (Pygoscelis adeliae),38.9,3625.0
Adelie Penguin (Pygoscelis adeliae),39.2,4675.0
Adelie Penguin (Pygoscelis adeliae),34.1,3475.0
Adelie Penguin (Pygoscelis adeliae),42.0,4250.0
Adelie Penguin (Pygoscelis adeliae),37.8,3300.0
Adelie Penguin (Pygoscelis adeliae),37.8,3700.0
Adelie Penguin (Pygoscelis adeliae),41.1,3200.0
Adelie Penguin (Pygoscelis adeliae),38.6,3800.0
Adelie Penguin (Pygoscelis adeliae),34.6,4400.0
Adelie Penguin (Pygoscelis adeliae),36.6,3700.0
Adelie Penguin (Pygoscelis adeliae),38.7,3450.0
Adelie Penguin (Pygoscelis adeliae),42.5,4500.0
Adelie Penguin (Pygoscelis adeliae),34.4,3325.0
Adelie Penguin (Pygoscelis adeliae),46.0,4200.0
Adelie Penguin (Pygoscelis adeliae),37.8,3400.0
Adelie Penguin (Pygoscelis adeliae),37.7,3600.0
Adelie Penguin (Pygoscelis adeliae),35.9,3800.0
Adelie Penguin (Pygoscelis adeliae),38.2,3950.0
Adelie Penguin (Pygoscelis adeliae),38.8,3800.0
Adelie Penguin (Pygoscelis adeliae),35.3,3800.0
Adelie Penguin (Pygoscelis adeliae),40.6,3550.0
Adelie Penguin (Pygoscelis adeliae),40.5,3200.0
Adelie Penguin (Pygoscelis adeliae),37.9,3150.0
Adelie Penguin (Pygoscelis adeliae),40.5,3950.0
Adelie Penguin (Pygoscelis adeliae),39.5,3250.0
Adelie Penguin (Pygoscelis adeliae),37.2,3900.0
Adelie Penguin (Pygoscelis adeliae),39.5,3300.0
Adelie Penguin (Pygoscelis adeliae),40.9,3900.0
Adelie Penguin (Pygoscelis adeliae),36.4,3325.0
Adelie Penguin (Pygoscelis adeliae),39.2,4150.0
Adelie Penguin (Pygoscelis adeliae),38.8,3950.0
Adelie Penguin (Pygoscelis adeliae),42.2,3550.0
Adelie Penguin (Pygoscelis adeliae),37.6,3300.0
Adelie Penguin (Pygoscelis adeliae),39.8,4650.0
Adelie Penguin (Pygoscelis adeliae),36.5,3150.0
Adelie Penguin (Pygoscelis adeliae),40.8,3900.0
Adelie Penguin (Pygoscelis adeliae),36.0,3100.0
Adelie Penguin (Pygoscelis adeliae),44.1,4400.0
Adelie Penguin (Pygoscelis adeliae),37.0,3000.0
Adelie Penguin (Pygoscelis adeliae),39.6,4600.0
Adelie Penguin (Pygoscelis adeliae),41.1,3425.0
Adelie Penguin (Pygoscelis adeliae),37.5,2975.0
Adelie Penguin (Pygoscelis adeliae),36.0,3450.0
Adelie Penguin (Pygoscelis adeliae),42.3,4150.0
Adelie Penguin (Pygoscelis adeliae),39.6,3500.0
Adelie Penguin (Pygoscelis adeliae),40.1,4300.0
Adelie Penguin (Pygoscelis adeliae),35.0,3450.0
Adelie Penguin (Pygoscelis adeliae),42.0,4050.0
Adelie Penguin (Pygoscelis adeliae),34.5,2900.0
Adelie Penguin (Pygoscelis adeliae),41.4,3700.0
Adelie Penguin (Pygoscelis adeliae),39.0,3550.0
Adelie Penguin (Pygoscelis adeliae),40.6,3800.0
Adelie Penguin (Pygoscelis adeliae),36.5,2850.0
Adelie Penguin (Pygoscelis adeliae),37.6,3750.0
Adelie Penguin (Pygoscelis adeliae),35.7,3150.0
Adelie Penguin (Pygoscelis adeliae),41.3,4400.0
Adelie Penguin (Pygoscelis adeliae),37.6,3600.0
Adelie Penguin (Pygoscelis adeliae),41.1,4050.0
Adelie Penguin (Pygoscelis adeliae),36.4,2850.0
Adelie Penguin (Pygoscelis adeliae),41.6,3950.0
Adelie Penguin (Pygoscelis adeliae),35.5,3350.0
Adelie Penguin (Pygoscelis adeliae),41.1,4100.0
Adelie Penguin (Pygoscelis adeliae),35.9,3050.0
Adelie Penguin (Pygoscelis adeliae),41.8,4450.0
Adelie Penguin (Pygoscelis adeliae),33.5,3600.0
Adelie Penguin (Pygoscelis adeliae),39.7,3900.0
Adelie Penguin (Pygoscelis adeliae),39.6,3550.0
Adelie Penguin (Pygoscelis adeliae),45.8,4150.0
Adelie Penguin (Pygoscelis adeliae),35.5,3700.0
Adelie Penguin (Pygoscelis adeliae),42.8,4250.0
Adelie Penguin (Pygoscelis adeliae),40.9,3700.0
Adelie Penguin (Pygoscelis adeliae),37.2,3900.0
Adelie Penguin (Pygoscelis adeliae),36.2,3550.0
Adelie Penguin (Pygoscelis adeliae),42.1,4000.0
Adelie Penguin (Pygoscelis adeliae),34.6,3200.0
Adelie Penguin (Pygoscelis adeliae),42.9,4700.0
Adelie Penguin (Pygoscelis adeliae),36.7,3800.0
Adelie Penguin (Pygoscelis adeliae),35.1,4200.0
Adelie Penguin (Pygoscelis adeliae),37.3,3350.0
Adelie Penguin (Pygoscelis adeliae),41.3,3550.0
Adelie Penguin (Pygoscelis adeliae),36.3,3800.0
Adelie Penguin (Pygoscelis adeliae),36.9,3500.0
Adelie Penguin (Pygoscelis adeliae),38.3,3950.0
Adelie Penguin (Pygoscelis adeliae),38.9,3600.0
Adelie Penguin (Pygoscelis adeliae),35.7,3550.0
Adelie Penguin (Pygoscelis adeliae),41.1,4300.0
Adelie Penguin (Pygoscelis adeliae),34.0,3400.0
Adelie Penguin (Pygoscelis adeliae),39.6,4450.0
Adelie Penguin (Pygoscelis adeliae),36.2,3300.0
Adelie Penguin (Pygoscelis adeliae),40.8,4300.0
Adelie Penguin (Pygoscelis adeliae),38.1,3700.0
Adelie Penguin (Pygoscelis adeliae),40.3,4350.0
Adelie Penguin (Pygoscelis adeliae),33.1,2900.0
Adelie Penguin (Pygoscelis adeliae),43.2,4100.0
Adelie Penguin (Pygoscelis adeliae),35.0,3725.0
Adelie Penguin (Pygoscelis adeliae),41.0,4725.0
Adelie Penguin (Pygoscelis adeliae),37.7,3075.0
Adelie Penguin (Pygoscelis adeliae),37.8,4250.0
Adelie Penguin (Pygoscelis adeliae),37.9,2925.0
Adelie Penguin (Pygoscelis adeliae),39.7,3550.0
Adelie Penguin (Pygoscelis adeliae),38.6,3750.0
Adelie Penguin (Pygoscelis adeliae),38.2,3900.0
Adelie Penguin (Pygoscelis adeliae),38.1,3175.0
Adelie Penguin (Pygoscelis adeliae),43.2,4775.0
Adelie Penguin (Pygoscelis adeliae),38.1,3825.0
Adelie Penguin (Pygoscelis adeliae),45.6,4600.0
Adelie Penguin (Pygoscelis adeliae),39.7,3200.0
Adelie Penguin (Pygoscelis adeliae),42.2,4275.0
Adelie Penguin (Pygoscelis adeliae),39.6,3900.0
Adelie Penguin (Pygoscelis adeliae),42.7,4075.0
Adelie Penguin (Pygoscelis adeliae),38.6,2900.0
Adelie Penguin (Pygoscelis adeliae),37.3,3775.0
Adelie Penguin (Pygoscelis adeliae),35.7,3350.0
Adelie Penguin (Pygoscelis adeliae),41.1,3325.0
Adelie Penguin (Pygoscelis adeliae),36.2,3150.0
Adelie Penguin (Pygoscelis adeliae),37.7,3500.0
Adelie Penguin (Pygoscelis adeliae),40.2,3450.0
Adelie Penguin (Pygoscelis adeliae),41.4,3875.0
Adelie Penguin (Pygoscelis adeliae),35.2,3050.0
Adelie Penguin (Pygoscelis adeliae),40.6,4000.0
Adelie Penguin (Pygoscelis adeliae),38.8,3275.0
Adelie Penguin (Pygoscelis adeliae),41.5,4300.0
Adelie Penguin (Pygoscelis adeliae),39.0,3050.0
Adelie Penguin (Pygoscelis adeliae),44.1,4000.0
Adelie Penguin (Pygoscelis adeliae),38.5,3325.0
Adelie Penguin (Pygoscelis adeliae),43.1,3500.0
Adelie Penguin (Pygoscelis adeliae),36.8,3500.0
